time	radps
3,69739	19,72222
3,70038	20,50762
3,70348	19,30334
3,70655	20,31563
3,70965	19,79203
3,71266	20,50762
3,71586	19,65241
3,71910	20,61234
3,72221	19,61750
3,72557	20,83923
3,72934	19,35570
3,73246	21,03122
3,73549	19,40806
3,73858	20,50762
3,74157	19,60005
3,74469	20,68215
3,74819	19,73967
3,75153	20,33309
3,75455	20,38545
3,75762	20,03638
3,76114	20,64725
3,76462	19,46042
3,76767	21,15339
3,77076	19,21608
3,77383	21,10103
3,77690	18,81465
3,78002	21,32792
3,78317	19,28589
3,78624	21,13594
3,78938	19,28589
3,79238	21,48500
3,79601	19,75713
3,79939	20,96140
3,80247	20,17601
3,80552	20,31563
3,80859	20,89159
3,81175	19,53023
3,81471	21,06612
3,81786	19,87930
3,82135	21,36283
3,82446	19,46042
3,82803	21,48500
3,83136	20,03638
3,83440	20,75196
3,83757	20,45526
3,84071	20,42035
3,84382	21,45010
3,84728	19,93166
3,85046	21,29302
3,85366	19,65241
3,85669	21,85152
3,86023	19,61750
3,86341	21,99115
3,86661	20,24582
3,86956	21,08358
3,87276	20,87414
3,87585	20,96140
3,87924	21,13594
3,88240	20,31563
3,88552	21,67699
3,88913	19,87930
3,89223	21,55482
3,89544	20,31563
3,89847	21,36283
3,90151	20,90904
3,90460	20,64725
3,90771	21,36283
3,91114	20,57743
3,91439	21,64208
3,91756	20,00147
3,92116	22,04351
3,92473	20,17601
3,92782	20,90904
3,93081	21,67699
3,93389	20,49017
3,93711	21,86898
3,94025	19,87930
3,94380	22,30531
3,94693	20,33309
3,95006	21,64208
3,95361	20,69960
3,95696	21,74680
3,96000	21,78171
3,96302	20,24582
3,96606	22,09587
3,96934	20,83923
3,97242	21,93879
3,97555	20,89159
3,97854	21,74680
3,98160	21,83407
3,98467	21,17084
3,98831	22,04351
3,99135	20,99631
3,99436	22,47984
3,99753	20,38545
4,00073	22,54965
4,00380	20,96140
4,00685	21,60718
4,00995	21,39774
4,01338	21,55482
4,01645	22,16568
4,01943	20,82178
4,02254	22,74164
4,02563	20,76942
4,02865	22,60201
4,03213	20,82178
4,03541	22,09587
4,03856	21,78171
4,04169	21,17084
4,04520	22,54965
4,04873	21,03122
4,05194	21,93879
4,05507	21,93879
4,05828	21,25811
4,06157	22,42748
4,06497	20,96140
4,06836	22,56711
4,07189	21,32792
4,07504	20,96140
4,07829	22,70673
4,08192	20,87414
4,08496	22,47984
4,08793	21,85152
4,09113	21,85152
4,09420	22,32276
4,09785	21,08358
4,10102	22,75909
4,10415	21,48500
4,10773	21,86898
4,11125	22,06096
4,11452	21,72935
4,11755	22,32276
4,12047	21,86898
4,12361	22,28785
4,12673	22,44493
4,12981	21,53736
4,13297	23,02089
4,13608	21,60718
4,13943	22,77655
4,14295	21,46755
4,14606	22,13077
4,14921	22,96853
4,15217	21,32792
4,15530	23,31760
4,15847	21,48500
4,16195	22,77655
4,16533	22,16568
4,16838	21,93879
4,17147	22,93363
4,17459	21,64208
4,17790	22,68928
4,18094	22,16568
4,18401	22,09587
4,18713	22,89872
4,19034	21,92134
4,19340	22,44493
4,19720	22,41003
4,20035	22,49729
4,20390	22,96853
4,20707	21,92134
4,21027	22,70673
4,21335	22,35767
4,21632	21,64208
4,21945	23,26524
4,22266	21,79916
4,22575	23,14307
4,22880	22,13077
4,23185	23,05580
4,23528	22,70673
4,23879	22,11332
4,24206	23,54449
4,24522	22,44493
4,24819	22,42748
4,25129	23,12561
4,25448	22,68928
4,25774	23,00344
4,26112	22,61947
4,26435	23,00344
4,26758	23,50959
4,27069	22,25295
4,27390	23,50959
4,27705	23,12561
4,28029	22,30531
4,28334	23,63176
4,28646	22,44493
4,28950	23,43977
4,29299	22,68928
4,29610	23,14307
4,29954	23,71902
4,30298	22,56711
4,30619	23,64921
4,30941	23,24779
4,31245	22,63692
4,31553	23,43977
4,31892	22,77655
4,32206	23,02089
4,32513	23,63176
4,32863	22,82891
4,33170	23,24779
4,33522	23,63176
4,33836	22,86381
4,34156	23,43977
4,34467	23,02089
4,34772	23,09071
4,35115	23,40487
4,35426	22,25295
4,35743	23,98082
4,36058	22,93363
4,36355	22,75909
4,36672	24,01573
4,36976	23,05580
4,37281	23,54449
4,37582	22,88127
4,37874	23,70157
4,38188	23,26524
4,38536	22,93363
4,38848	23,89356
4,39161	23,47468
4,39502	23,00344
4,39823	23,98082
4,40141	23,64921
4,40452	23,45723
4,40765	24,15536
4,41067	23,28269
4,41389	24,01573
4,41734	22,96853
4,42043	23,64921
4,42360	24,08554
4,42707	22,96853
4,43018	24,20772
4,43323	23,85865
4,43623	23,47468
4,43928	24,41716
4,44237	23,33505
4,44558	23,77138
4,44928	23,89356
4,45241	23,47468
4,45597	23,57940
